k_code,ring_damp
2.1146184124e+01,9.9999855835e-01
2.1628368086e+01,9.9999855792e-01
2.2121547004e+01,9.9999855750e-01
2.2625971591e+01,9.9999855709e-01
2.3141898273e+01,9.9999855669e-01
2.3669589328e+01,9.9999855630e-01
2.4209313010e+01,9.9999855592e-01
2.4761343693e+01,9.9999855555e-01
2.5325962006e+01,9.9999855518e-01
2.5903454977e+01,9.9999855482e-01
2.6494116180e+01,9.9999855448e-01
2.7098245882e+01,9.9999855413e-01
2.7716151197e+01,9.9999855380e-01
2.8348146242e+01,9.9999855347e-01
2.8994552298e+01,9.9999855315e-01
2.9655697969e+01,9.9999855284e-01
3.0331919355e+01,9.9999855254e-01
3.1023560219e+01,9.9999855224e-01
3.1730972161e+01,9.9999855195e-01
3.2454514800e+01,9.9999855166e-01
3.3194555956e+01,9.9999855138e-01
3.3951471833e+01,9.9999855111e-01
3.4725647216e+01,9.9999855084e-01
3.5517475664e+01,9.9999855058e-01
3.6327359709e+01,9.9999855033e-01
3.7155711063e+01,9.9999855008e-01
3.8002950823e+01,9.9999854984e-01
3.8869509692e+01,9.9999854960e-01
3.9755828191e+01,9.9999854936e-01
4.0662356889e+01,9.9999854914e-01
4.1589556625e+01,9.9999854891e-01
4.2537898750e+01,9.9999854870e-01
4.3507865361e+01,9.9999854848e-01
4.4499949549e+01,9.9999854827e-01
4.5514655647e+01,9.9999854807e-01
4.6552499490e+01,9.9999854787e-01
4.7614008673e+01,9.9999854768e-01
4.8699722824e+01,9.9999854749e-01
4.9810193875e+01,9.9999854730e-01
5.0945986341e+01,9.9999854712e-01
5.2107677614e+01,9.9999854694e-01
5.3295858247e+01,9.9999854677e-01
5.4511132262e+01,9.9999854660e-01
5.5754117454e+01,9.9999854643e-01
5.7025445703e+01,9.9999854627e-01
5.8325763301e+01,9.9999854611e-01
5.9655731274e+01,9.9999854596e-01
6.1016025722e+01,9.9999854580e-01
6.2407338162e+01,9.9999854565e-01
6.3830375878e+01,9.9999854551e-01
6.5285862285e+01,9.9999854537e-01
6.6774537289e+01,9.9999854523e-01
6.8297157671e+01,9.9999854509e-01
6.9854497467e+01,9.9999854496e-01
7.1447348364e+01,9.9999854483e-01
7.3076520100e+01,9.9999854470e-01
7.4742840879e+01,9.9999854458e-01
7.6447157787e+01,9.9999854446e-01
7.8190337228e+01,9.9999854434e-01
7.9973265361e+01,9.9999854422e-01
8.1796848553e+01,9.9999854411e-01
8.3662013837e+01,9.9999854400e-01
8.5569709384e+01,9.9999854389e-01
8.7520904988e+01,9.9999854379e-01
8.9516592554e+01,9.9999854368e-01
9.1557786606e+01,9.9999854358e-01
9.3645524802e+01,9.9999854348e-01
9.5780868460e+01,9.9999854339e-01
