k_code,N_star
2.1146184124e+01,3.2413372383e+00
2.1628368086e+01,3.2638845100e+00
2.2121547004e+01,3.2864317207e+00
2.2625971591e+01,3.3089788704e+00
2.3141898273e+01,3.3315259666e+00
2.3669589328e+01,3.3540730171e+00
2.4209313010e+01,3.3766200218e+00
2.4761343693e+01,3.3991669807e+00
2.5325962006e+01,3.4217138939e+00
2.5903454977e+01,3.4442607765e+00
2.6494116180e+01,3.4668076210e+00
2.7098245882e+01,3.4893544312e+00
2.7716151197e+01,3.5119012108e+00
2.8348146242e+01,3.5344479637e+00
2.8994552298e+01,3.5569946861e+00
2.9655697969e+01,3.5795413780e+00
3.0331919355e+01,3.6020880547e+00
3.1023560219e+01,3.6246347084e+00
3.1730972161e+01,3.6471813393e+00
3.2454514800e+01,3.6697279472e+00
3.3194555956e+01,3.6922745399e+00
3.3951471833e+01,3.7148211174e+00
3.4725647216e+01,3.7373676720e+00
3.5517475664e+01,3.7599142189e+00
3.6327359709e+01,3.7824607506e+00
3.7155711063e+01,3.8050072670e+00
3.8002950823e+01,3.8275537682e+00
3.8869509692e+01,3.8501002617e+00
3.9755828191e+01,3.8726467476e+00
4.0662356889e+01,3.8951932182e+00
4.1589556625e+01,3.9177396812e+00
4.2537898750e+01,3.9402861366e+00
4.3507865361e+01,3.9628325844e+00
4.4499949549e+01,3.9853790169e+00
4.5514655647e+01,4.0079254494e+00
4.6552499490e+01,4.0304718742e+00
4.7614008673e+01,4.0530182915e+00
4.8699722824e+01,4.0755647049e+00
4.9810193875e+01,4.0981111107e+00
5.0945986341e+01,4.1206575127e+00
5.2107677614e+01,4.1432039070e+00
5.3295858247e+01,4.1657503014e+00
5.4511132262e+01,4.1882966881e+00
5.5754117454e+01,4.2108430748e+00
5.7025445703e+01,4.2333894539e+00
5.8325763301e+01,4.2559358253e+00
5.9655731274e+01,4.2784822044e+00
6.1016025722e+01,4.3010285683e+00
6.2407338162e+01,4.3235749397e+00
6.3830375878e+01,4.3461213036e+00
6.5285862285e+01,4.3686676674e+00
6.6774537289e+01,4.3912140236e+00
6.8297157671e+01,4.4137603798e+00
6.9854497467e+01,4.4363067360e+00
7.1447348364e+01,4.4588530922e+00
7.3076520100e+01,4.4813994408e+00
7.4742840879e+01,4.5039457893e+00
7.6447157787e+01,4.5264921379e+00
7.8190337228e+01,4.5490384865e+00
7.9973265361e+01,4.5715848274e+00
8.1796848553e+01,4.5941311760e+00
8.3662013837e+01,4.6166775169e+00
8.5569709384e+01,4.6392238579e+00
8.7520904988e+01,4.6617701988e+00
8.9516592554e+01,4.6843165398e+00
9.1557786606e+01,4.7068628807e+00
9.3645524802e+01,4.7294092140e+00
9.5780868460e+01,4.7519555550e+00
9.7964903101e+01,4.7745018883e+00
1.0019873899e+02,4.7970482216e+00
1.0248351173e+02,4.8195945549e+00
1.0482038279e+02,4.8421408958e+00
1.0721054014e+02,4.8646872292e+00
1.0965519884e+02,4.8872335587e+00
1.1215560166e+02,4.9097798882e+00
1.1471301968e+02,4.9323262215e+00
1.1732875299e+02,4.9548725548e+00
1.2000413133e+02,4.9774188881e+00
1.2274051475e+02,4.9999652138e+00
1.2553929430e+02,5.0225115471e+00
1.2840189277e+02,5.0450578728e+00
1.3132976538e+02,5.0676042061e+00
1.3432440054e+02,5.0901505318e+00
1.3738732061e+02,5.1126968651e+00
1.4052008263e+02,5.1352431908e+00
1.4372427918e+02,5.1577895164e+00
1.4700153913e+02,5.1803358498e+00
1.5035352851e+02,5.2028821754e+00
1.5378195132e+02,5.2254285011e+00
1.5728855044e+02,5.2479748268e+00
1.6087510847e+02,5.2705211601e+00
1.6454344866e+02,5.2930674858e+00
1.6829543586e+02,5.3156138115e+00
1.7213297740e+02,5.3381601372e+00
1.7605802414e+02,5.3607064629e+00
1.8007257140e+02,5.3832527885e+00
1.8417866002e+02,5.4057991142e+00
1.8837837735e+02,5.4283454399e+00
1.9267385836e+02,5.4508917656e+00
1.9706728669e+02,5.4734380913e+00
2.0156089577e+02,5.4959844170e+00
2.0615696997e+02,5.5185307426e+00
2.1085784574e+02,5.5410770683e+00
2.1566591281e+02,5.5636233940e+00
2.2058361539e+02,5.5861697197e+00
