k_code,P_zeta
2.1146184124e+01,5.3478857057e-12
2.1628368086e+01,5.7147146173e-12
2.2121547004e+01,6.1062898936e-12
2.2625971591e+01,6.5245462510e-12
2.3141898273e+01,6.9711634176e-12
2.3669589328e+01,7.4479018588e-12
2.4209313010e+01,7.9570175676e-12
2.4761343693e+01,8.5004302505e-12
2.5325962006e+01,9.0804656547e-12
2.5903454977e+01,9.6997449333e-12
2.6494116180e+01,1.0360448176e-11
2.7098245882e+01,1.1065622324e-11
2.7716151197e+01,1.1818258356e-11
2.8348146242e+01,1.2620934761e-11
2.8994552298e+01,1.3477491652e-11
2.9655697969e+01,1.4391230306e-11
3.0331919355e+01,1.5365575557e-11
3.1023560219e+01,1.6404961119e-11
3.1730972161e+01,1.7513112180e-11
3.2454514800e+01,1.8694527260e-11
3.3194555956e+01,1.9954297018e-11
3.3951471833e+01,2.1296586262e-11
3.4725647216e+01,2.2727247720e-11
3.5517475664e+01,2.4252016615e-11
3.6327359709e+01,2.5875707763e-11
3.7155711063e+01,2.7605660073e-11
3.8002950823e+01,2.9448069287e-11
3.8869509692e+01,3.1409282569e-11
3.9755828191e+01,3.3497637013e-11
4.0662356889e+01,3.5719976441e-11
4.1589556625e+01,3.8084569303e-11
4.2537898750e+01,4.0600812673e-11
4.3507865361e+01,4.3276171736e-11
4.4499949549e+01,4.6121314357e-11
4.5514655647e+01,4.9146624743e-11
4.6552499490e+01,5.2360494311e-11
4.7614008673e+01,5.5776221065e-11
4.8699722824e+01,5.9404730168e-11
4.9810193875e+01,6.3257065222e-11
5.0945986341e+01,6.7348091620e-11
5.2107677614e+01,7.1689649053e-11
5.3295858247e+01,7.6296167577e-11
5.4511132262e+01,8.1184212063e-11
5.5754117454e+01,8.6366562470e-11
5.7025445703e+01,9.1862000603e-11
5.8325763301e+01,9.7688822465e-11
5.9655731274e+01,1.0386145444e-10
6.1016025722e+01,1.1040375392e-10
6.2407338162e+01,1.1733520102e-10
6.3830375878e+01,1.2467558804e-10
6.5285862285e+01,1.3245220256e-10
6.6774537289e+01,1.4068704009e-10
6.8297157671e+01,1.4940722573e-10
6.9854497467e+01,1.5864445098e-10
7.1447348364e+01,1.6842414952e-10
7.3076520100e+01,1.7878332502e-10
7.4742840879e+01,1.8975912554e-10
7.6447157787e+01,2.0138253431e-10
7.8190337228e+01,2.1370269351e-10
7.9973265361e+01,2.2676199538e-10
8.1796848553e+01,2.4060447037e-10
8.3662013837e+01,2.5528864846e-10
8.5569709384e+01,2.7086486115e-10
8.7520904988e+01,2.8739317926e-10
8.9516592554e+01,3.0494238671e-10
9.1557786606e+01,3.2357095626e-10
9.3645524802e+01,3.4335679390e-10
9.5780868460e+01,3.6437759781e-10
9.7964903101e+01,3.8669891422e-10
1.0019873899e+02,4.1041463519e-10
1.0248351173e+02,4.3560379674e-10
1.0482038279e+02,4.6234319697e-10
1.0721054014e+02,4.9072747982e-10
1.0965519884e+02,5.2083007237e-10
1.1215560166e+02,5.5273033168e-10
1.1471301968e+02,5.8651040219e-10
1.1732875299e+02,6.2222263426e-10
1.2000413133e+02,6.5993465520e-10
1.2274051475e+02,6.9969658806e-10
1.2553929430e+02,7.4152062033e-10
1.2840189277e+02,7.8544219867e-10
1.3132976538e+02,8.3145207634e-10
1.3432440054e+02,8.7951461718e-10
1.3738732061e+02,9.2959767211e-10
1.4052008263e+02,9.8161457941e-10
1.4372427918e+02,1.0354642365e-09
1.4700153913e+02,1.0910283950e-09
1.5035352851e+02,1.1481274076e-09
1.5378195132e+02,1.2065857824e-09
1.5728855044e+02,1.2661906131e-09
1.6087510847e+02,1.3266690395e-09
1.6454344866e+02,1.3877737816e-09
1.6829543586e+02,1.4492002359e-09
1.7213297740e+02,1.5106160350e-09
1.7605802414e+02,1.5717054174e-09
1.8007257140e+02,1.6321034594e-09
1.8417866002e+02,1.6914526803e-09
1.8837837735e+02,1.7494036861e-09
1.9267385836e+02,1.8055747477e-09
1.9706728669e+02,1.8596263266e-09
2.0156089577e+02,1.9112235956e-09
2.0615696997e+02,1.9600172740e-09
2.1085784574e+02,2.0057341618e-09
2.1566591281e+02,2.0480950556e-09
2.2058361539e+02,2.0868491982e-09
2.2561345345e+02,2.1218119062e-09
2.3075798393e+02,2.1528068448e-09
2.3601982211e+02,2.1797133621e-09
2.4140164288e+02,2.2024633594e-09
2.4690618214e+02,2.2210062564e-09
2.5253623815e+02,2.2353624373e-09
2.5829467301e+02,2.2455892961e-09
2.6418441407e+02,2.2517631025e-09
2.7020845541e+02,2.2540358235e-09
2.7636985942e+02,2.2525726379e-09
2.8267175829e+02,2.2475695414e-09
2.8911735564e+02,2.2392704307e-09
